track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key
Bones,Imagine Dragons,1,2021,4198,44,838079900,98,108,114,F
Por las Noches,Peso Pluma,1,2021,457,24,330346424,8,116,92,
Ghost,Justin Bieber,1,2021,5866,24,1167330737,107,38,154,D
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,2619,12,350381515,47,90,130,F#
Until I Found You,Stephen Sanchez,1,2021,4427,4,726434358,69,100,202,A#
Easy On Me,Adele,1,2021,10195,20,1406111294,258,87,142,F
The Color Violet,Tory Lanez,1,2021,2585,32,415932686,3,79,105,F#
Shivers,Ed Sheeran,1,2021,10147,30,1302184087,234,71,141,D
METAMORPHOSIS,INTERWORLD,1,2021,1561,24,357580552,18,78,175,G
La Bebe,Yng Lvcas,1,2021,489,17,191945597,4,11,170,D
Yonaguni,Bad Bunny,1,2021,9644,28,1260594497,120,86,180,C#
Woman,Doja Cat,1,2021,9424,0,1329090101,202,50,108,F
I Hate U,SZA,1,2021,4094,0,356709897,66,96,107,G
ýýýabcdefu,Gayle,1,2021,7215,0,1007612429,170,12,122,E
Pepas,Farruko,1,2021,14114,17,1309887447,252,109,130,G
Take My Breath,The Weeknd,1,2021,2597,0,130655803,17,80,121,A#
good 4 u,Olivia Rodrigo,1,2021,15563,6,1887039593,259,55,166,F#
Need To Know,Doja Cat,1,2021,6672,0,1042568408,125,36,130,C#
Surface Pressure,Jessica Darrow,1,2021,1756,0,267758538,38,48,180,D
THATS WHAT I WANT,Lil Nas X,1,2021,7963,0,920797189,173,7,88,C#
MONEY,Lisa,1,2021,2566,13,863625566,44,109,140,C#
Happier Than Ever,Billie Eilish,1,2021,8476,0,1056760045,138,133,65,
Toxic,BoyWithUke,1,2021,1795,0,582981380,34,23,180,G#
drivers license,Olivia Rodrigo,1,2021,12685,3,1858144199,185,61,144,A#
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,4635,5,583687007,50,49,93,
Oh My God,Adele,1,2021,4431,0,466214729,105,7,88,C#
I AM WOMAN,Emmy Meli,1,2021,2795,0,225259194,45,0,170,A#
It'll Be Okay,Shawn Mendes,1,2021,1950,0,287201015,56,8,78,G
Super Gremlin,Kodak Black,1,2021,2551,0,342779426,52,15,73,D
Tacones Rojos,Sebastian Yatra,1,2021,3047,9,510876816,77,31,123,B
Butter,BTS,1,2021,4779,6,1143647827,180,135,110,G#
deja vu,Olivia Rodrigo,1,2021,7545,4,1256880657,117,39,181,A
TO THE MOON,Jnr Choi,1,2021,2979,0,245095641,44,0,144,D
Dos Oruguitas,Sebastian Yatra,1,2021,925,0,167076418,24,47,94,
Acapulco,Jason Derulo,1,2021,3098,0,363467642,111,5,122,A#
ELEVEN,IVE,1,2021,521,1,247737946,17,89,120,A
DANCE CRIP,Trueno,1,2021,731,0,198883004,14,14,106,
happier,Olivia Rodrigo,1,2021,3069,4,850608354,25,46,169,F#
Praise God,Kanye West,1,2021,4651,0,376333030,24,6,118,C#
Get Into It (Yuh),Doja Cat,1,2021,4999,0,516784627,43,19,92,G#
Sobrio,Maluma,1,2021,3506,10,513643924,103,76,178,F
favorite crime,Olivia Rodrigo,1,2021,3681,0,783706581,20,21,173,A
As It Was,Harry Styles,1,2022,23575,130,2513188493,403,198,174,F#
Kill Bill,SZA,1,2022,8109,77,1163093654,183,162,89,G#
